,A
651,"영강(永康)은 중국 서진(西秦) 문소왕(文昭王)의 첫 번째 연호이다. 412년 8월에서 419년까지 7년 5개월 동안 사용하였다. 같은 시기에 사용된 다른 연호로는 동진(東晉)에서 사용한 의희(義熙 : 405년 ~ 418년), 원희(元熙 : 419년 ~ 420년), 후진(後秦)에서 사용한 홍시(弘始 : 399년 ~ 416년), 영화(永和 : 416년 ~ 417년), 북량(北凉)에서 사용한 영안(永安 : 401년 ~ 412년), 현시(玄始 : 412년 ~ 428년), 남량(南凉)에서 사용한 가평(嘉平 : 408년 ~ 414년), 서량(西凉)에서 사용한 건초(建初 : 405년 ~ 417년), 가흥(嘉興 : 417년 ~ 420년), 하(夏)에서 사용한 용승(龍昇 : 407년 ~ 413년), 봉상(鳳翔 : 413년 ~ 418년), 창무(昌武 : 418년 ~ 419년), 진흥(眞興 : 419년 ~ 425년), 북연(北燕)에서 사용한 태평(太平 : 409년 ~ 430년), 북위(北魏)에서 사용한 영흥(永興 : 409년 ~ 413년), 신서(神瑞 : 414년 ~ 416년), 태상(泰常 : 416년 ~ 423년)이 있다."
652,"대한민국헌법에서 체포·구속·압수 또는 수색을 할 때에는 적법한 절차에 따라 검사의 신청에 의하여 법관이 발부한 영장을 제시하여야 한다. 다만, 현행범인인 경우와 장기 3년 이상의 형에 해당하는 죄를 범하고 도피 또는 증거인멸의 염려가 있을 때에는 사후에 영장을 청구할 수 있다. 영장은 ‘명령서’, ‘통지서’로 한국어 순화어를 쓰도록 권장 됨에 따라 입영영장은 입영통지서로 쓴다. 수색영장은 수사기관에게 피의자 등을 상대로 형사소송상의 증거물을 수색할 것을 명령하는 법원의 명령장이다. 체포영장은 혐의자의 체포를 지시하는 검찰이 청구하고, 판사는 이를 검토하여 승인하는 명령장이다. 구속영장은 피고인이나 또는 피의자를 구인·구금하기 위하여 검사의 청구에 따라 법원이 발부하는 영장이다. 인신보호영장은 이유없이 구금되었을 때 신청해 구금에서 풀려날 수 있게하는 영장으로, 대한민국에서는 구속적부심사를 쓴다."
653,"러시아는 세계 1위 면적과 세계 9위 인구(1억 4200만명), 국내총생산(GDP) 1조 4200억 달러의 세계 12권 경제대국으로 거대한 내수시장을 보유하고 있다. 또한 천연자원이 풍부하다. 석유, 천연가스, 광물, 목재 등의 보유량이 세계 1위이며, 천연가스 생산량과 원유 생산량은 세계 1위이다. 러시아는 남북 이중 수교국이다. 조선민주주의인민공화국과의 관계는 해방 이후부터 시작되었으며, 대한민국과는 적대적인 관계였으나 냉전 이후, 소련이 붕괴하기 전에 한소수교가 1990년에 이루어졌으며, 소련 붕괴 이후엔 경제, 문화, 우주기술협력 등에서 밀접한 관계를 맺으며 외교관계를 유지했다. 하지만 잠재되어 있는 녹둔도(록둔도) 문제를 포함해서 연해주 등의 잠재된 영토 문제가 아직 남아 있으나 남북분단으로 인해 쟁점화하지는 않았다. 대한민국의 위성인 나로호도 러시아의 기술적 협조로 제작 및 발사했다."
654,"1861년 피아노 연주곡을 첫 작곡하였고 1865년 피아노 연주자 데뷔한 그는 쾰른 음악원에서 수학하였으며 이후 바이로이트에서 클래식 가극의 거장 리하르트 바그너의 악극 상연을 보조해 주었고, 그의 영향을 받았다. 1900년부터는 베를린에서 작곡을 가르쳤다. 그의 작품으로는 1893년작 동화 가극 《헨젤과 그레텔》 만이 오늘날까지 상연되고 있다. 그의 작품은 주로 리하르트 바그너풍의 작곡 스타일을 보이며, 독일 민요의 요소를 받아들임으로써 독일 대중으로 하여금 친근하게 다가갈 수 있게 하는 요소를 갖추고 있다."
655,"1982년에는 국제 유대인 스포츠 명예의 전당에 헌액되었다. 푸치시 예뇌(, 1882년 10월 29일 ~ 1955년 3월 14일)는 헝가리의 펜싱 선수이다. 사브르 종목을 전문적으로 활약하면서, 1908년과 1912년 하계 올림픽에서 개인/단체전 2연승을 거두었다. 부다페스트의 유대인 집안 출신으로, 19세기에 유대인들은 행동적 조직들에서 제외당하였다. 아무 펜싱 클럽에 소속되거나 국내 토너먼트를 우승한 적이 없던 푸치시는 1908년 런던 올림픽 선발 시합에서 3위로 오면서 출전에 합격하였다. 런던 올림픽(1908년 하계 올림픽)에서 사브르 종목의 개인전과 단체전을 모두 우승하면서 첫 금메달을 획득하였다. 4년 후, 스톡홀름 올림픽(1912년 하계 올림픽)에서 똑같은 승리들을 되풀이하였다."
656,"2017년 5월부터 KIA 타이거즈의 외국인 스카우트로 활동한다. 브렛 마이클 필(, 1984년 9월 9일 ~ )은 미국 출신의 전 야구 선수이자, KBO 리그 KIA 타이거즈의 스카우트이다. 메이저 리그(메이저 리그 베이스볼) 3시즌을, 마이너리그(마이너 리그 베이스볼)에서 8시즌을 활동했다. 2006년 샌프란시스코 자이언츠에 7라운드 206순위로 입단하여 메이저 리그(메이저 리그 베이스볼) 3시즌 동안 240타수 56안타 타율 0.233 9홈런 28득점 32타점을 기록하였다. 2014년 KBO 리그 외국인 확장 정책에 따라 KIA 타이거즈의 외국인 타자로 영입되었다. 당시 그는 2013 시즌 후 샌프란시스코 자이언츠의 40인 로스터에 있었기 때문에, KIA 타이거즈에서 이적료를 SF 측에 지급하였다. 그는 시범경기 때 2할도 못미치는 타율로 우려를 샀으나 시즌이 시작되자 맹활약하기 시작했다."
657,"《대추나무 사랑걸렸네》는 한국방송공사의 KBS 2TV, KBS 1TV에서 방영했던 전원 드라마이다. 1990년 9월 9일 첫 회 방송 이래 17년 동안 852부작 방송하였다. 후속 프로그램은 산 너머 남촌에는이다. 한편, 특정업소를 간접광고했다는 이유 때문에 방송위원회로부터 '경고' 조치를 받았다. 아울러, 1990년 9월 9일부터 1991년 5월 19일까지는 KBS 2TV에서 일요일 오전 8시 50분, 1991년 5월 26일부터 1992년 4월 5일까지는 KBS 2TV에서 일요일 오전 9시, 1992년 4월 12일부터 1993년 4월 25일까지는 KBS 2TV에서 오전 9시였다. 1993년 5월 2일부터 1994년 10월 2일까지는 한동안 KBS 1TV에서 일요일 오전 10시에서 방영되었으며 당시 해당 드라마 자리에는 일요일은 참으세요가 1993년 5월 2일부터 방송될 예정이었지만 오연수 손지창 백일섭 외의 배우들 섭외 문제로 어려움을 겪어오자 KBS는 일요아침드라마 시간에 8시부터 특집 <만화대잔치>를 내보냈고 일요일은 참으세요는 1993년 5월 9일로 첫 회가 변경됐다."
658,"1995년 포크 음악 그룹 다누(Danu) 멤버로 활동을 시작하였으나, 이듬해 아버지 리엄 클랜시와 사촌형 로비 오코늘과 함께 3인조 그룹을 조직하면서 다누를 탈퇴하였다. 1999년까지 3인조로 활동하다가 아버지는 아일랜드로, 사촌형은 매사추세츠 주로, 본인은 뉴욕 주로 거주지가 갈라짐에 따라 풀 타임 그룹 활동을 중단하게 되었다. (해산이 아니다. 이후로도 이따금 함께 공연하였으므로) 2003년 다누에 재가입하여 현재까지 활동하고 있고, 또 2006년에 로비 오코늘, 보비 클랜시의 딸 이파 클랜시와 함께 조직한 3인조 그룹 더 클랜시 레거시(The Clancy Legacy)의 멤버이기도 하다. 이는 현아(김현아)가 포미닛과 트러블 메이커 모두의 멤버인 것과 같다. 전자는 포미닛 같은 풀 타임 그룹이라면, 후자는 트러블 메이커 같은 형태의 일시적인 그룹이다. 악기는 기타, 틴 휘슬, 밴조, 부주키, 시턴(Citern)을 다룬다."
659,"중국 대륙(중화인민공화국)의 무장 경찰 대신 SDU가 테러 진압을 담당한다. 여행자들에게 치안은 매우 좋은 편이다. 과거에는 영국군이 주둔했고, 제2차 세계 대전 중 일본군이 점령하여 1945년 8월 말까지 주둔하기도 했다. 1997년 7월 1일 홍콩 반환 이래 홍콩의 군사는 중화인민공화국 중앙인민정부가 담당하고 있으며, 홍콩 방위를 위해 파견된 중국인민해방군 (주 홍콩 부대) 약 1만 명이 주둔하고 있다. 한편 홍콩과 마카오 주민들은 중국인민해방군에 대한 병역 의무가 없다."
660,"1987년 1월 1일부턴 1965년 당시의 독립채산제 시행에 비해 훨씬 급진적인 독립채산제를 실시했다. 경공업, 자동차공업, 기계공업 등 6개 부(部)의 산하 국유기업들 그리고 콜호즈에 독립채산제가 실시된 것이다. 이와 더불어, 사회적 임금을 대폭 줄이는 한편, 직접 임금 개혁을 단행하여 노동자의 임금을 25%, 관리자의 임금을 30% 인상했다. 또한 합작기업법을 공포해 외국과의 합작 투자를 허용했다. 이어서 같은 해 5월부터는 소비재 가내 생산과 자동차 수리업 및 주택 수리업, 그리고 가구 제조업 등을 포함한 29개의 업종에 대해 경영, 법인자유화를 전면 선언했다. 이러한 개혁에 대해서 러시아 경제사를 연구하는 학자들에 의해 ""고르바초프는 소련을 서구식 사회민주주의로 개혁하려고 했다.""고 평가된다. 거래자유화, 경영자유화 정책을 펼쳤지만, 이 당시에는 아직 국유화 되어있는 경제 집단(은행, 분배위원회, 지역소비에트, 중앙 경제 계획기구)이 더 많았기 때문이다."
661,"2010년 3월 인천대학교와 인천전문대학이 통합을 하였다. 2015학년도 1학기까지 인천대학교 제물포캠퍼스를 운영한다. 2015학년도 2학기부터 인천대학교 제물포캠퍼스 학생들도 송도캠퍼스에서 수업을 듣는다. 1979년 1월 백인엽(白仁燁)이 운영하는 학교법인 선인학원(善仁學園)에서 인천공과대학으로 설립하였다. 1979년 12월 6개 학과를 증설하면서 인천대학으로 변경하고, 1984년 대학원을 설립하였다. 1988년 10월 종합대학으로 승격되었고, 1994년 3월 시립으로 전환되었다. 2007년 4월 송도캠퍼스 건설에 착수하여 2009년 7월 30일 준공하고 인천광역시 남구 도화동에서 송도국제도시 안의 지금의 위치로 이전하였다."
662,"이 회사의 경우 대한항공, 에어프랑스, 아에로멕시코와 함께 스카이팀의 창립 회원으로 허브 공항의 경우 일본 지바 현 나리타 시에 위치한 나리타 국제공항과 프랑스 파리(파리 (프랑스))의 파리 샤를 드 골 공항을 비롯해 네덜란드 암스테르담의 스히폴 국제공항이 있으며 그 밖에 미국의 솔트레이크시티 국제공항, 신시내티 노던켄터키 국제공항, 하츠필드 잭슨 애틀랜타 국제공항, 존 F. 케네디 국제공항, 라가디아 공항, 디트로이트 메트로폴리탄 웨인 카운티 공항, 미니애폴리스 세인트폴 국제공항, 멤피스 국제공항이 있다. 1924년 뉴욕 시에서 허프 댈런드 더스터스(Huff Daland Dusters)란 농약 살포를 전문으로 하는 항공사로 설립되었다. 1928년 루이지애나의 기업인에게 매각되어 델타에어 서비스라는 회사가 되었다. 1929년에 여객수송을 시작하였고 1930년 12월 델타 에어라는 법인으로 다시 설립해 남부에서 가장 빠르게 성장하는 도시인 애틀랜타에 취항 했으며 서쪽과 동시에 동쪽인 텍사스 주로 확장하게 되었다."
663,"또 (태아도 국민이며) 국민의 생존을 보장하는 것은 정치의 고유한 책임이라는 생각을 가지고 있다. 그리고 독일 가족이 세 자녀를 가지는 것은 바람직한 일이라고 봤다. 당의 대표단중에 1인이 확인해준 바에 의하면, 페트리가 이민과 통화 및 유럽연합의 개혁에 관한 주요 의제에 대한 국민투표 실시를 당이 찬성한다고 설명했으며, 페트리 개인적으로 낙태법의 개정에 대해 국민투표를 실시를 생각해볼 수 있다고 발언했으나, 당의 공식적 결정은 없었다한다. 하지만 페트리는 한델스블라트(Handelsblatt)지와 인터뷰에서는 그녀가 개인적으로 낙태문제에 대해 국민투표를 요구했다는 보도에 대해 부인했으며, 오보라고 주장했다. 낙태문제는 단지 국민투표가 가능한 사례를 드는 과정에 배경설명을 하면서 언급한 것이라고 밝혔다. 사회과학자 알렉산더 호이슬러는 패트리가 때때로 ""극우적 단어""를 사용한다고 지적했다. 극우 그룹내에서 반대세력을 비난하는데 사용하되는 안티판텐(Antifanten)이라 용어를 맞불집회 참가자들을 지칭하는 데 사용한 것이 대표적이다."
664,"지연 서식지는 아열대 또는 열대 기후 지역의 건조림, 습윤 저지대 숲, 습윤 산지 숲, 건조 사바나, 습윤 사바나, 건조 관목 지대, 습윤 관목 숲, 고지대 관목 지대, 건조 저지대 초원, 고지대 초원, 경작지, 목초지, 농장, 그리고 시골과 도시 지역이다. 민꼬리텐렉은 땅에 사는 텐렉과의 종 중에서는 가장 크다. 몸길이는 26~39cm이고, 몸무게는 1.5~2.5 kg 정도이다. 몸에는 불그스레한 회색을 띠는 중간 크기의 털이, 길고 날카로운 가시와 함께 성글게 난다. 잎 사이의 작은 무척추동물을 잡아 먹을뿐 아니라, 음식찌꺼기를 먹거나 개구리, 생쥐 등을 사냥한다. 이 텐렉은 위협을 받으면 비명을 지르며, 가시같은 머리카락이 곤두서고, 뛰어 오르거나 물어뜯는다. 낮에는 바위와 나무 더미 또는 덤불 속의 풀과 나뭇잎 속에 몸을 숨긴다."
