,Q,A
7658,이제 3주정도 되가는데 점점 좋아지고있어,많이 노력하고 있나봐요.
7659,이제 겨우 일주일 됐네,일주일이나 지난 거예요.
7660,이제 괜찮습니다. 그래서 힘드네 이젠.,이별은 상처를 남기고 가니까요.
7661,이제 그만,정리되길.
7662,이제 그만 보낼려구,그것이 최선의 선택일거라 생각해요.
7663,이제 그만해야겠죠?,고민하고 있다면 그게 맞을 거예요.
7664,이제 끝이네,마음이 좀 후련해지길 바랄게요.
7665,이제 끝인가봐,이별을 받아들이는 건 쉬운 일이 아니겠죠.
7666,이제 나 자신으로 돌아와 아름다워지고 싶어.,좋은 생각이에요. 한차례 성숙해진 자신을 발견할 거예요.
7667,이제 나도 계산적인 사람이 되려나 봅니다,상처가 있었나봐요. 누구나 그럴 수 있어요.
7668,이제 나름의 정리를 시작해보려구.,심경의 변화가 있었나봐요. 응원할게요.
7669,이제 너 따위 생각도 안난다 꺼져,말하면서 기분이 좀 나아졌길 바랍니다.
7670,이제 너무 지쳐가네ㅠ,지칠만 해요.
7671,이제 놓아 주려고,끝낼 때를 아는 것도 중요한 것 같아요.
7672,이제 놓아주렵니다,끝낼 때를 아는 것도 중요한 것 같아요.
7673,이제 놓을수 있을것 같아,충분한 마음의 정리를 했나봅니다.
7674,이제 누구 만나는 것도 지치네,새로운 만남은 언제나 어려운 것 같아요.
7675,이제 더이상 남자친구로 안느껴진다는 그녀,익숙함이라는 타성에 젖은 건 아닐까 생각해봅니다.
7676,이제 때론 괜찮기도 해,그렇게 익숙해져 가나봐요.
7677,이제 마음 정리도 된 거 같은데,그럼 새로운 인연을 기다려보세요.
7678,이제 마음을 정리할 때가 된거같아,끝낼 때를 아는 것도 중요한 것 같아요.
7679,이제 막 이별을.,혼자만의 시간이 필요하겠어요.
7680,이제 모든게 퍼즐처럼 맞춰지네,곱씹어도 아픈 기억인 걸요.
7681,이제 반년이란 시간이 흘렀는데,좀 나아졌길 기대합니다.
7682,이제 밥도 잘 먹구 술은 안마시면 되겠는데,복잡한 머리 속이 문제네요.
7683,이제 보내주려 합니다.,많이 고민 했을거라 생각해요.
7684,이제 보름 다되어가네,생각 보다 잘 버텼어요.
7685,이제 사진 지운 이유는?,마음의 준비가 필요했을지도 몰라요.
7686,이제 세달째,짧지 않은 시간이지요.
7687,이제 숨 좀 쉬나,충분히 극복할 수 있어요.
7688,이제 스스로 인정한 것 같아,현실 그대로를 받아들이는 것부터 시작이에요.
7689,이제 슬슬 끝이 보이네,사랑에도 끝이 있으니까요.
7690,이제 여친이 마음이 괜잖아진거같아!!!,다행으로 생각할게요.
7691,이제 와서 소문이라니,참 거지같네요.
7692,이제 이곳올일 없을거 같네하하ㅜ,좋은 소식이라고 생각할게요.
7693,이제 이별한지 한달,생각보다 많은 시간이 지났네요.
7694,이제 인정해야할 것 같아.,현실 인정부터 시작이죠.
7695,이제 일주일,충분히 극복해낼 수 있어요.
7696,이제 일주일이네,당신만 아픈 것도 겪은 것도 아니에요.
7697,이제 잊혀지는데 속도가 붙는거 같아.,이별도 익숨함에 젖어드나봐요.
7698,이제 자리 잡아가는데,얼마 남지 않았어요.
7699,이제 전부 못믿겠네.,그래도 자신은 믿어주세요.
7700,이제 점심시간에도 너에게 카톡을 할 수가 없구나.,점심시간에 할 수 있는 다른 걸 해봐요.
7701,이제 정리하려고 합니다.,맘 고생 많았어요.
7702,이제 정말 끝이겠죠,마지막을 인정하는 것도 중요해요.
7703,이제 정말 놓으려구.,때론 이별도 받아들여야 하나봐요.
7704,이제 정말 놓으려합니다,많이 고민 했을거라 생각해요.
7705,이제 정말 마침표 찍어야 하네,사랑에도 끝이 있으니까요.
7706,이제 제발 좀 잊자,마음먹은대로 괜찮아지길.
7707,이제 진짜 끝났어 슬퍼,저도 슬퍼지네요. 기운 내길 바랄게요.
7708,이제 진짜 떠나야겠지,천천히 보내주세요.
7709,이제 진짜 안녕!!,안녕!
7710,이제 탈퇴합니다,좋은 마음이길 바랄게요.
7711,이제 한 삼주 되었나?,잘 지내고 있길 바랍니다.
7712,이제 한달이 조금 넘었어,마음이 내 마음 같지 않죠.
7713,이제 헤어진지 1주일됐어,긴 시간이었을거라 생각해요.
7714,이제 헤어진지 딱 한달,금방 지나갈 거예요.
7715,이제 헤이진지 5일차네.,이별을 헤아리는 건 큰 도움이 안 돼요.
7716,이제 확실히 알겠어,깨달음이 중요하죠.
7717,이제 힘내렵니다!,당신이 기운내는 것을 보니 좋은 예감이 들어요.
7718,이제는 너를 보낼 시간이 가까이 오는구나.,이별을 받아들이는 것도 중요해요.
7719,이제는 놓아줄꺼라 생각하지만,쉽지 않은 결정이죠.
7720,이제는 먼저 놓아줄까 합니다,충분한 고민 끝의 결정일 거라 믿어요.
7721,이제는 숨막히고 괴로운건 좀 무뎌졌는데,상처가 아무는 데는 시간이 걸려요.
7722,이제는 연락도 없는 너를 그리며,미련은 사랑을 증오로 만들 수 있어요.
7723,이제는 이별을 받아드리려고 합니다,이별을 받아들이는 것도 중요해요.
7724,이제는 잡을 수가 없네,마지막을 아는 것도 필요해요.
7725,이제는 정리가 된 거 일까?,생각을 정리해 보는 건 어떨까요.
7726,이제는 정말 끝,맘고생 많았어요.
7727,이제는 포기하게 되네 나 자신조차,자신은 놓지 말아요.
7728,이제는 후회 없네 .,그동안 마음 고생 많았어요.
7729,이제는그만하고 싶어,이젠 마음의 결정을 내릴 때에요.
7730,이제떠나려합니다,제 곁은 떠나지 마세요.
7731,이제서야 현실을 받아들이네,이제 새로운 출발을 하면 돼요.
7732,이제서야.,지금도 늦지 않았어요.
7733,이제야 깨달음,지금도 늦지 않았어요.
7734,이제야 오래전 상대방이 아팠던걸 이해했어.,다음 번의 사랑에선 좀 더 신중할 수 있게 된 거예요.
7735,이제야 좀 잊혀지네,마음 고생 많았어요.
7736,이젠 괜찮을 줄 알았어.,이별에 완전한 치유는 없어요.
7737,이젠 그냥 조금만 자극이와도 눈물이.,이별은 상처를 남기고 가니까요.
7738,이젠 나의 스케줄로 돌아가야할때!!,좋은 생각이에요!
7739,이젠 너 때문에 오래된 노래들도 못 듣겠어.,아프지만 추억으로 여기는 건 어떨까요.
7740,이젠 놓아주려 해,좋은 선택일거라 믿어요.
7741,이젠 놓아줘야 할 때인가 보다,이별의 끝을 인정하는 것도 용기입니다.
7742,이젠 눈물이 말라버렸나 봅니다.,많이 지쳤나봐요. 곧 기운낼 수 있길 바랄게요.
7743,이젠 다시 만날 수도 없는 상황,달라지는게 없다면 이런 상황이 더 나을지도 몰라요.
7744,이젠 더이상 정 주기 무섭습니다,상처가 많이 크셨나요.
7745,이젠 보내줄게.,잘 지낼거예요.
7746,이젠 붙잡을 수 도 없는 사람.,달라지는게 없다면 이런 상황이 더 나을지도 몰라요.
7747,이젠 슬픈 사랑,슬픈 이별이기도 하네요.
7748,이젠 어떡해얄지 모르겠어,일기를 써보세요.
7749,이젠 어쩌죠.,생각을 정리해 보세요.
7750,이젠 유부남이 된 전남친,이젠 그를 놓아주세요.
7751,이젠 의미있는 시간을 만들어보려해,그동안 못했던 일들을 시작해보세요.
7752,이젠 잊기로 해,그것이 최선의 선택일거라 생각해요.
7753,이젠 잡아도 안되는거래,사랑은 때론 미련이 되기도 하죠.
7754,이젠 정말 놔줄라고,그렇다면 마음의 짐도 덜할 거예요.
7755,이젠 정말 잊고 싶어,마음 먹은 것만으로도 절반을 해낸 거예요.
7756,이젠 정말끝이겟죠?,새로운 삶은 시작하세요.
7757,이젠 제 자신한테 지칩니다,이별의 끝은 항상 모두를 그렇게 만드나봐요.
7758,이젠 조금씩 생각이 변하네,긍정적인 변화이길 바랍니다.
7759,이젠 조금씩 화가나네,그럴 때가 있어요.
7760,이젠 증오가 될거같네,충분히 이해해요. 하지만 나에게도 독이 될 수 있어요.
7761,이젠 진짜 끝인가봐,이별할 때를 아는 것도 중요해요.
7762,이젠 진짜 진짜 안녕,맘 고생 많았어요.
7763,이젠 포기가 되네,마음 고생 많았어요.
7764,이젠정말끝이네,또 다른 시작이기도 해요.
7765,이틀전 그녀에게 연락이 왔습니다,또 흔들리지 마세요.
7766,이해심이 부족한 나.,우리 모두 상대방이 되어 보지 못했으니 당연하다고 생각해요.
7767,이혼,쉽지 않은 결정이죠.
7768,이혼만은 막고싶은데,충분한 대화를 나눠보세요.
7769,이혼을 앞둔 부부밥상,제가 감히 가늠하지 못할 정도로 힘든 자리라 생각해요.
7770,이혼을 준비중인 부부라면,이별을 준비하는 기간이 필요할지도 모르겠네요.
7771,이혼을 하고싶진 않는데 너무견디기힘듭니다 ㅠㅠ,인연이 거기까지였다고 생각하기로 해요.
7772,이혼한지 일년이 넘었네,힘든 시간이었을거라 생각해요.
7773,익숙함에 속지말자 라는말에 대하여,익숨함이 만든 거짓된 사랑.
7774,익숙해질 법도 한데,언젠간 괜찮아질 거라 믿어요. 사람은 적응의 동물이니까요.
7775,인간의 성향은 변하지 않나 봅니다.,사람은 고쳐쓰는게 아니란 말도 있더라고요.
7776,"인과응보, 속이 다 시원해",자신이 쏜 화살은 부메랑이 되어 돌아오기도 하죠.
7777,인내,그 끝에는 아쉬움이 없을 거예요.
7778,인생 포기한 걸까,언제든 다시 시작할 수 있어요.
7779,인연,또 다른 인연이 있기 마련이죠.
7780,인연이었다던 그사람,또 다른 인연이 있기 마련이죠.
7781,일과시간 후 집에 도착한 다음에도 궁상,충분히 그럴 수 있어요. 조급하게 생각지 마세요.
7782,일방적인 통보로 헤어졌습니다,상대방에 대한 예의가 없네요.
7783,일상의 추억,기억의 편린이 될 뿐이에요.
7784,일어나자마자 우울,달콤한 차라도 한 잔 해보세요.
7785,일을하다가도 잠을 자다가도,당분간은 생각날 수 밖에 없어요.
7786,일이 안 끝나,힘들겠지만 하나씩 해보세요.
7787,일이 익숙해 지지 않네,조금만 더 힘내세요.
7788,일전에 여기서 댓글주고 받던분들.,같은 고민을 안고 살아가는 사람들.
7789,일주일간 괜찮았는데.,갑자기 생각나기도 한답니다.
7790,일주일이 너무 길어,쉬어가도 돼요.
7791,일주일이 일년같다,많이 힘들었을 거라 생각해요.
7792,일주일전까지만해도.,당장 내일 일도 예측할 수 없는걸요.
7793,일하는 곳 근처 가서 염탐하고 왔네.,그분에 대한 궁금증을 접어두셔요.
7794,읽씹,인연이 거기까지였나봐요.
7795,읽씹은 아프네,상대방에 대한 예의가 없네요.
7796,입원 중에 이별통보 받았는데 마이 아프네,그분이 너무했네요.
7797,입장이 바뀐 상태에서 오랜만에 와보내,심경의 변화가 있었나요?
7798,있을때 잘 할 걸,대다수의 사람들이 지나간 후에 깨닫고는 한답니다.
7799,잊겠다 다짐했는데 아직 멀었나 봅니다,시간이 좀 걸리겠지만 해낼 수 있어요.
7800,잊고싶다,마음 먹을대로 할 수 있어요.
7801,잊고싶다.,잊게 될 거예요.
7802,잊고싶어도 잊질못하네,함께한 시간이 있었으니까요.
7803,잊고있다 생각했는데,마음 한켠에 남아 있었나봐요.
7804,잊기가 너무 힘드네,사람을 잊는다는 건 쉬운 일이 아니니까요.
7805,잊기가 힘듭니다.,충분히 힘들만하다고 생각해요.
7806,잊기싫은데 잊혀져만 가.,자연스러운 현상이에요.
7807,잊기위해 무던히도노력했는데,맘처럼 쉽지가 않을거예요.
7808,잊는다는거 참 어렵네,정말 어려운 일이에요.
7809,잊어보려 하는데.,처음에는 잘 안되겠지만 잘할 수 있을 거예요.
7810,잊어보려고,시작이 반입니다.. 응원할게요.
7811,잊어볼 마음에 다른 여자 만나고왔습니다.,사람은 사람으로 잊혀지기도 해요.
7812,잊어야 살 수 있을 것 같아,잊을 수 있을 거예요.
7813,잊어야 할것들이 너무 많아,함께 했던 시간 만큼 잊어야하는 것도 많을 거예요.
7814,잊어야겠지,그래야할 것 같아요.
7815,잊어야하나?,당신을 위해서 잊는게 좋을 거예요.
7816,잊은 줄 알았는데,쉬운 일은 아니지요.
7817,잊을 때.,생각을 잠시 접어두는게 맘이 편하죠.
7818,잊을 수 없다는 거 이제 알겠네,사람을 잊는다는 건 쉬운 일이 아니니까요.
7819,잊을 수가 있을까,힘들긴 하지만 시간이 약이라는 사실을 잊지 말아요.
7820,잊을수 없는 너.,많이 사랑했던 만큼 기억이 선연하더라고요.
7821,잊자 잊자 지워버리자,잘 해내고 있어요.
7822,잊지 못하겟어,잊기 힘든 순간들이었죠.
7823,잊지마,때론 잊어버리는 것이 좋을 때도 있어요.
7824,잊지못한다면순수한겁니다,그보다 많이 사랑했던거지요.
7825,잊지못할줄 알았는데,살다보면 잊혀지기도 하나봐요.
7826,잊혀져 가는게 더 아프내,이젠 그 기억을 놓아보세요.
7827,잊혀져가는 모든 것이 그리워지네,지나간 것은 미화되기도 한답니다.
7828,잊혀지네.,자연스러운 현상이에요.
7829,잊혀지면 얼마나 좋을가.,쉬운 일이 아니라는 거 잘 알고 있어요.
7830,잊혀진걸까?,그런 생각은 스스로를 힘들게 할 뿐이에요.
7831,잊혀진다는거,마음 아픈 일이기도 해요.
7832,잊혀질까?,힘들지만 언젠간 기억 저편으로 사라질 거예요.
7833,자괴감,스스로를 자책하지 말아요. 마음이 아프답니다.
7834,자괴감만 드는 하루하루를 보내고 있습니다.,많이 지쳤나봐요. 곧 기운낼 수 있길 바랄게요.
7835,자기 쓰레기 맞다고 잊고 살아가래,그런 사람은 빨리 잊는게 상책이에요. 자신을 더 사랑해주세요.
